Year,Month,Day,Closing_price
1995,6,21,319.99
1995,6,20,317.15
1995,6,19,316.89
1995,6,16,312.74
1995,6,15,310.44
1995,6,14,310.89
1995,6,13,314.53
1995,6,12,315.5
1995,6,9,315.01
1995,6,8,314.66
1995,6,7,314.4
1995,6,6,315.3
1995,6,2,316.63
1995,6,1,316.32
1995,5,31,310.52
1995,5,30,311.25
1995,5,29,308.53
1995,5,26,310.42
1995,5,24,312.96
1995,5,23,312.37
1995,5,22,308.45
1995,5,19,304.5
1995,5,18,307.36
1995,5,17,309.08
1995,5,16,312.45
1995,5,15,309.82
1995,5,12,307.54
1995,5,11,305.53
1995,5,10,303.92
1995,5,9,305.04
1995,5,8,303.84
1995,5,5,304.98
1995,5,4,308.21
1995,5,3,306.54
1995,5,2,306.27
1995,4,28,304.77
1995,4,27,301.75
1995,4,26,300.49
1995,4,25,299.85
1995,4,24,297.17
1995,4,21,295.02
1995,4,20,293.32
1995,4,19,293.26
1995,4,18,293.15
1995,4,13,294.9
1995,4,12,295.07
1995,4,11,292.86
1995,4,10,293.63
1995,4,7,293.22
1995,4,6,292.64
1995,4,5,289.91
1995,4,4,290.24
1995,4,3,284.21
1995,3,31,283.26
1995,3,30,285.4
1995,3,29,279.02
1995,3,28,282.38
1995,3,27,283.12
1995,3,24,282.48
1995,3,23,279.05
1995,3,22,281.83
1995,3,21,284
1995,3,20,284.56
1995,3,17,282.34
1995,3,16,282.86
1995,3,15,283.91
1995,3,14,283.87
1995,3,13,278.89
1995,3,10,278.83
1995,3,9,273.16
1995,3,8,276.91
1995,3,7,274.78
1995,3,6,277.08
1995,3,3,283.25
1995,3,2,286.33
1995,3,1,290.07
1995,2,28,288.01
1995,2,27,289.18
1995,2,24,291.15
1995,2,23,290.54
1995,2,22,291.81
1995,2,21,293.7
1995,2,20,292.73
1995,2,17,292.18
1995,2,16,295.1
1995,2,15,298.01
1995,2,14,298.84
1995,2,13,296.72
1995,2,10,297.9
1995,2,9,298.23
1995,2,8,293.62
1995,2,7,295.97
1995,2,6,296.78
1995,2,3,293.95
1995,2,2,291.69
1995,2,1,292.01
1995,1,31,287.99
1995,1,30,288.68
1995,1,27,290.21
1995,1,26,289.3
1995,1,25,288
1995,1,24,289.37
1995,1,23,285.72
1995,1,20,290.08
1995,1,19,291.43
1995,1,18,292.97
1995,1,17,292.76
1995,1,16,293.85
1995,1,13,291.27
1995,1,12,289.79
1995,1,11,293.32
1995,1,10,292.13
1995,1,9,291.81
1995,1,5,291.51
1995,1,4,290.65
1995,1,3,288.6
1995,1,2,287.13
1994,12,30,284.4
1994,12,29,282.42
1994,12,28,283.5
1994,12,27,286.01
1994,12,23,285.09
1994,12,22,285.95
1994,12,21,283.82
1994,12,20,284.29
1994,12,19,283.95
1994,12,16,285.33
1994,12,15,285.43
1994,12,14,284.18
1994,12,13,285.19
1994,12,12,282.36
1994,12,9,283.61
1994,12,8,286.04
1994,12,7,284.71
1994,12,6,287.46
1994,12,5,292.37
1994,12,2,289.51
1994,12,1,291.95
1994,11,30,293.77
1994,11,29,292.51
1994,11,28,292.39
1994,11,25,290.65
1994,11,24,291.68
1994,11,23,286.92
1994,11,22,291.59
1994,11,21,296.33
1994,11,18,293.92
1994,11,17,292.98
1994,11,16,296.09
1994,11,15,294.1
1994,11,14,292.14
1994,11,11,284.69
1994,11,10,284.13
1994,11,9,284.1
1994,11,8,280.43
1994,11,7,276.82
1994,11,4,279.54
1994,11,3,280.03
1994,11,2,285.34
1994,11,1,287.76
1994,10,31,288.96
1994,10,28,285.74
1994,10,27,284.79
1994,10,26,282.93
1994,10,25,281.6
1994,10,24,283.5
1994,10,21,283.48
1994,10,20,285.04
1994,10,19,284.24
1994,10,18,284.46
1994,10,17,285.64
1994,10,14,283.92
1994,10,13,283.19
1994,10,12,277.18
1994,10,11,275.56
1994,10,10,270.43
1994,10,7,266.73
1994,10,6,267.99
1994,10,5,267.64
1994,10,4,272.29
1994,10,3,271.79
1994,9,30,273.5
1994,9,29,274.4
1994,9,28,278.52
1994,9,27,276.86
1994,9,26,276.56
1994,9,23,278.67
1994,9,22,275.53
1994,9,21,275.95
1994,9,20,278.64
1994,9,19,280.74
1994,9,16,282.06
1994,9,15,284.58
1994,9,14,282.47
1994,9,13,282.77
1994,9,12,281.65
1994,9,9,279.11
1994,9,8,280.54
1994,9,7,280.14
1994,9,6,278.34
1994,9,5,279.47
1994,9,2,286.34
1994,9,1,284
1994,8,31,282.46
1994,8,30,281.98
1994,8,29,284.56
1994,8,26,283.28
1994,8,25,278.94
1994,8,24,278.2
1994,8,23,271.83
1994,8,22,273.36
1994,8,19,274.13
1994,8,18,272.9
1994,8,17,271.03
1994,8,16,269.7
1994,8,15,269.36
1994,8,12,272.51
1994,8,11,278.2
1994,8,10,283.69
1994,8,9,286.97
1994,8,8,288.85
1994,8,5,286.61
1994,8,4,289.88
1994,8,3,291.18
1994,8,2,291.61
1994,8,1,286.61
1994,7,29,283.6
1994,7,28,279.58
1994,7,27,282.8
1994,7,26,284.83
1994,7,25,284.14
1994,7,22,284.5
1994,7,21,279.59
1994,7,20,280.06
1994,7,19,278.07
1994,7,18,277.22
1994,7,15,274.2
1994,7,14,271.99
1994,7,13,270.15
1994,7,12,267.03
1994,7,11,265.81
1994,7,8,260.74
1994,7,7,259.15
1994,7,6,255.89
1994,7,5,256.47
1994,7,4,260.31
1994,7,1,258.33
1994,6,30,264.24
1994,6,29,263.62
1994,6,28,262.51
1994,6,27,258.17
1994,6,23,264.16
1994,6,22,260.87
1994,6,21,259.73
1994,6,20,261.9
1994,6,17,271.26
1994,6,16,274.84
1994,6,15,278.96
1994,6,14,278.01
1994,6,13,277.45
1994,6,10,279.24
1994,6,9,280.15
1994,6,8,283.5
1994,6,7,282.07
1994,6,6,286.71
1994,6,3,284.12
1994,6,2,282.32
1994,6,1,283.35
1994,5,31,284.39
1994,5,30,289.2
1994,5,27,292.22
1994,5,26,291.08
1994,5,25,288.26
1994,5,24,290.78
1994,5,20,292.86
1994,5,19,295.8
1994,5,18,295.39
1994,5,17,298.3
1994,5,16,296.48
1994,5,13,294.4
1994,5,11,287.96
1994,5,10,287.02
1994,5,9,285.79
1994,5,6,289.17
1994,5,5,292.23
1994,5,4,289.2
1994,5,3,290.82
1994,5,2,286.55
1994,4,29,283.33
1994,4,28,281.13
1994,4,27,283.56
1994,4,26,281.01
1994,4,25,279.31
1994,4,22,279.35
1994,4,21,273.88
1994,4,20,274.41
1994,4,19,275.48
1994,4,18,279.36
1994,4,15,279.19
1994,4,14,280.94
1994,4,13,286.41
1994,4,12,287.18
1994,4,11,286.34
1994,4,8,283.8
1994,4,7,282.2
1994,4,6,281.62
1994,4,5,272.82
1994,3,31,267.68
1994,3,30,269.83
1994,3,29,270.76
1994,3,28,274.14
1994,3,25,275.15
1994,3,24,281.7
1994,3,23,284.47
1994,3,22,285.28
1994,3,21,285.42
1994,3,18,288.45
1994,3,17,291.58
1994,3,16,293.61
1994,3,15,294.08
1994,3,14,293.83
1994,3,11,287.5
1994,3,10,291.51
1994,3,9,292.89
1994,3,8,292.15
1994,3,7,294.11
1994,3,4,289.47
1994,3,3,287.58
1994,3,2,284.98
1994,3,1,290.21
1994,2,28,294.38
1994,2,25,292.83
1994,2,24,294.29
1994,2,23,301.6
1994,2,22,300.06
1994,2,21,302.74
1994,2,18,303.73
1994,2,17,305.4
1994,2,16,298.21
1994,2,15,293.01
1994,2,14,289.2
1994,2,11,288.77
1994,2,10,293.58
1994,2,9,300.8
1994,2,8,301.59
1994,2,7,298.32
1994,2,4,305.96
1994,2,3,305.72
1994,2,2,307.65
1994,2,1,304.63
1994,1,31,308.33
1994,1,28,301.93
1994,1,27,299.43
1994,1,26,295.56
1994,1,25,293.82
1994,1,24,300.63
1994,1,21,299.32
1994,1,20,298.31
1994,1,19,302.65
1994,1,18,299.5
1994,1,17,299.83
1994,1,14,291.72
1994,1,13,287.83
1994,1,12,287.32
1994,1,11,290.48
1994,1,10,290.46
1994,1,7,287.62
1994,1,5,280.63
1994,1,4,280.04
1994,1,3,279.59
1993,12,30,274.98
1993,12,29,275.72
1993,12,28,270.94
1993,12,27,271.1
1993,12,23,271.24
1993,12,22,269.94
1993,12,21,268.97
1993,12,20,268.5
1993,12,17,266.06
1993,12,16,265.22
1993,12,15,265.99
1993,12,14,263.57
1993,12,13,264.91
1993,12,10,262.78
1993,12,9,265.02
1993,12,8,265.26
1993,12,7,265.58
1993,12,6,261.09
1993,12,3,260.59
1993,12,2,261.95
1993,12,1,261.94
1993,11,30,253.88
1993,11,29,250.95
1993,11,26,255.26
1993,11,25,255.68
1993,11,24,254.87
1993,11,23,255.26
1993,11,22,257.83
1993,11,19,263.68
1993,11,18,272.12
1993,11,17,273.13
1993,11,16,270.79
1993,11,15,273.76
1993,11,12,273.16
1993,11,11,272.06
1993,11,10,268.07
1993,11,9,272.38
1993,11,8,272.12
1993,11,5,271.84
1993,11,4,279.17
1993,11,3,279.46
1993,11,2,275.17
1993,11,1,277.87
1993,10,29,278.45
1993,10,28,276.93
1993,10,27,274.02
1993,10,26,276.33
1993,10,25,274.65
1993,10,22,277.12
1993,10,21,276.31
1993,10,20,270.82
1993,10,19,273.31
1993,10,18,273.87
1993,10,15,269.73
1993,10,14,267.19
1993,10,13,268.4
1993,10,12,266.11
1993,10,11,263.94
1993,10,8,263.07
1993,10,7,261.22
1993,10,6,258.9
1993,10,5,258.93
1993,10,4,252.84
1993,10,1,253.23
1993,9,30,252.17
1993,9,29,250.71
