2000,11,30,1095.43,-7.1126336587,A
2000,12,29,1056.11,-3.5894580211,A
2001,1,31,1112.58,5.3469809016,A
2001,2,28,975.65,-12.3074295781,A
2001,3,30,831.77,-14.7470916825,A
2001,4,30,934.49,12.3495677892,A
2001,11,30,835.06,12.5539141686,A
2001,12,28,846.49,1.3687639212,A
2002,1,31,782.02,-7.6161561271,A
2002,2,28,783.64,0.2071558272,A
2002,3,28,798.61,1.9103159614,A
2002,4,30,714.34,-10.5520842464,A
2002,11,29,575.24,12.5009778612,A
2002,12,30,493.2,-14.2618733051,A
2003,1,31,477.8,-3.1224655312,A
2003,2,28,469.97,-1.6387609879,A
2003,3,31,457.78,-2.5937825819,A
2003,4,30,521.92,14.0110970335,A
2003,11,28,614.52,-0.4938711401,A
2003,12,30,636.29,3.5426023563,A
2004,1,30,673.91,5.9123984347,A
2004,2,27,698.18,3.601371103,A
2004,3,31,690.28,-1.1315133633,A
2004,4,30,685.59,-0.6794344324,A
2004,11,30,743.34,5.8059924561,A
2004,12,30,741.88,-0.1964107945,A
2005,1,31,741.5,-0.0512212218,A
2005,2,28,769.97,3.8395144976,A
2005,3,31,770.39,0.0545475798,A
2005,4,29,749.54,-2.7064214229,A
2005,11,30,911.16,3.2323850311,A
2005,12,30,960.01,5.3612976865,A
2006,1,31,961.98,0.2052061958,A
2006,2,28,995.01,3.4335433169,A
2006,3,31,1059.94,6.5255625572,A
2006,4,28,1036.87,-2.1765382946,A
2006,11,30,1068.07,-1.6111500055,A
2006,12,29,1147.27,7.4152443192,A
2007,1,31,1185.98,3.3740967689,A
2007,2,28,1157.84,-2.3727212938,A
2007,3,30,1214.41,4.8858218752,A
2007,4,30,1273.83,4.8929109609,A
2007,11,30,1106.71,-6.4646720757,A
2007,12,28,1081.44,-2.2833443269,A
2008,1,31,949.04,-12.2429353455,A
2008,2,29,965.29,1.7122565961,A
2008,3,31,952.13,-1.3633208673,A
2008,4,30,986.06,3.5635890057,A
2008,11,28,641.74,0.4429418854,A
2008,12,30,662.33,3.2084644872,A
2009,1,30,617.38,-6.7866471396,A
2009,2,27,640.39,3.7270400726,A
2009,3,31,653.04,1.9753587658,A
2009,4,30,763.89,16.9744579199,A
2009,11,30,936.19,-0.8976679687,A
2009,12,30,951.72,1.6588513016,A
2010,1,29,953.71,0.209095112,A
2010,2,26,947.39,-0.6626752367,A
2010,3,31,1021.08,7.7782117185,A
2010,4,30,1053.88,3.2122850315,A
2010,11,30,1107.05,1.6276209011,A
2010,12,30,1155.57,4.3828192042,A
2011,1,31,1147.22,-0.7225871215,A
2011,2,28,1128.66,-1.617823957,A
2011,3,31,1134.87,0.5502099835,A
2011,4,29,1162.84,2.4645994695,A
2011,11,30,979.36,-1.1186947215,A
2011,12,30,987.85,0.8668926646,A
2012,1,31,1036.34,4.9086399757,A
2012,2,29,1101.76,6.3126001119,A
2012,3,30,1074.48,-2.4760383387,A
2012,4,30,1059.62,-1.3829945648,A
2012,11,30,1085.85,3.2068890135,A
2012,12,28,1104.73,1.7387300272,A
2013,1,31,1169.17,5.8330994904,A
2013,2,28,1199.4,2.5855949092,A
2013,3,28,1201.19,0.1492412873,A
2013,4,30,1198.99,-0.1831517079,A
2013,11,29,1307.71,1.8846609324,A
2013,12,30,1332.95,1.9300915341,A
2014,1,31,1304.45,-2.138114708,A
2014,2,28,1369.13,4.9584115911,A
2014,3,31,1364.97,-0.3038425862,A
2014,4,30,1364.39,-0.0424917764,A
2014,11,28,1461.34,3.4328020158,A
2014,12,30,1464.55,0.2196614067,A
2015,1,30,1573.62,7.447338773,A
2015,2,27,1691.03,7.4611405549,A
2015,3,31,1667.73,-1.377858465,A
2015,4,30,1628.04,-2.3798816355,A
